"Interestingness","Cosine","Cosine","Cosine","Cosine","Cosine","Cosine","Coherence","Coherence","Coherence","Coherence","Coherence","Coherence","AllConf","AllConf","AllConf","AllConf","AllConf","AllConf","MaxConf","MaxConf","MaxConf","MaxConf","MaxConf","MaxConf","IR","IR","IR","IR","IR","IR","Kulczynski","Kulczynski","Kulczynski","Kulczynski","Kulczynski","Kulczynski"
"Thresold","0.001","0.001","0.001","0.045","0.045","0.045","0.001","0.001","0.001","0.045","0.045","0.045","0.001","0.001","0.001","0.045","0.045","0.045","0.001","0.001","0.001","0.045","0.045","0.045","0.001","0.001","0.001","0.045","0.045","0.045","0.001","0.001","0.001","0.045","0.045","0.045"
"Parts-of-speech","NN","JJ","VB","NN","JJ","VB","NN","JJ","VB","NN","JJ","VB","NN","JJ","VB","NN","JJ","VB","NN","JJ","VB","NN","JJ","VB","NN","JJ","VB","NN","JJ","VB","NN","JJ","VB","NN","JJ","VB"
"nGram_1-numRule_1000-supA_10.0-supB_100.0-condAB_0.1-condBA_0.001",,,,,,,"0.050197700000","0.126543210000","0.009259260000","0.050197700000","0.126543210000","0.009259260000","0.051932970000","0.124242430000","0.008928580000","0.051932970000","0.124242430000","0.008928580000","0.000000000000",,,"0.000000000000",,,,,,,,,,,,,,
"nGram_1-numRule_1000-supA_10.0-supB_100.0-condAB_0.1-condBA_0.8",,,,,,,"0.050197700000","0.126543210000","0.009259260000","0.050197700000","0.126543210000","0.009259260000","0.051932970000","0.124242430000","0.008928580000","0.051932970000","0.124242430000","0.008928580000","0.000000000000",,,"0.000000000000",,,,,,,,,,,,,,
"nGram_1-numRule_1000-supA_10.0-supB_100.0-condAB_0.8-condBA_0.001",,,,,,,"0.095238100000","0.500000000000","0.000000000000","0.095238100000","0.500000000000","0.000000000000","0.095238100000","0.500000000000","0.000000000000","0.095238100000","0.500000000000","0.000000000000",,,,,,,,,,,,,,,,,,
"nGram_1-numRule_1000-supA_10.0-supB_100.0-condAB_0.8-condBA_0.8",,,,,,,"0.095238100000","0.500000000000","0.000000000000","0.095238100000","0.500000000000","0.000000000000","0.095238100000","0.500000000000","0.000000000000","0.095238100000","0.500000000000","0.000000000000",,,,,,,,,,,,,,,,,,
"nGram_1-numRule_1000-supA_10.0-supB_20.0-condAB_0.1-condBA_0.001",,,,,,,,"0.028412930000","0.001075270000",,"0.028412930000","0.001075270000",,"0.028412930000","0.001075270000",,"0.028412930000","0.001075270000","0.000000000000","0.000000000000","0.000000000000","0.000000000000","0.000000000000","0.000000000000",,,,,,,,,,,,
"nGram_1-numRule_1000-supA_10.0-supB_20.0-condAB_0.1-condBA_0.8",,,,,,,,"0.028412930000","0.001075270000",,"0.028412930000","0.001075270000",,"0.028412930000","0.001075270000",,"0.028412930000","0.001075270000","0.000000000000","0.000000000000","0.000000000000","0.000000000000","0.000000000000","0.000000000000",,,,,,,,,,,,
"nGram_1-numRule_1000-supA_10.0-supB_20.0-condAB_0.8-condBA_0.001",,,,,,,,"0.044897960000","0.004545460000",,"0.044897960000","0.004545460000",,"0.044897960000","0.004545460000",,"0.044897960000","0.004545460000",,,,,,,,,,,,,,,,,,
"nGram_1-numRule_1000-supA_10.0-supB_20.0-condAB_0.8-condBA_0.8",,,,,,,,"0.044897960000","0.004545460000",,"0.044897960000","0.004545460000",,"0.044897960000","0.004545460000",,"0.044897960000","0.004545460000",,,,,,,,,,,,,,,,,,
