"Interestingness","Cosine","Cosine","Cosine","Cosine","Cosine","Cosine","Cosine","Cosine","Cosine","Cosine","Cosine","Cosine","Cosine","Cosine","Cosine","Cosine","Cosine","Cosine","Cosine","Cosine","Cosine","Cosine","Cosine","Cosine","Cosine","Cosine","Cosine","Cosine","Cosine","Cosine","Cosine","Cosine","Cosine","Cosine","Cosine","Cosine","Coherence","Coherence","Coherence","Coherence","Coherence","Coherence","Coherence","Coherence","Coherence","Coherence","Coherence","Coherence","Coherence","Coherence","Coherence","Coherence","Coherence","Coherence","Coherence","Coherence","Coherence","Coherence","Coherence","Coherence","Coherence","Coherence","Coherence","Coherence","Coherence","Coherence","Coherence","Coherence","Coherence","Coherence","Coherence","Coherence","AllConf","AllConf","AllConf","AllConf","AllConf","AllConf","AllConf","AllConf","AllConf","AllConf","AllConf","AllConf","AllConf","AllConf","AllConf","AllConf","AllConf","AllConf","AllConf","AllConf","AllConf","AllConf","AllConf","AllConf","AllConf","AllConf","AllConf","AllConf","AllConf","AllConf","AllConf","AllConf","AllConf","AllConf","AllConf","AllConf","MaxConf","MaxConf","MaxConf","MaxConf","MaxConf","MaxConf","MaxConf","MaxConf","MaxConf","MaxConf","MaxConf","MaxConf","MaxConf","MaxConf","MaxConf","MaxConf","MaxConf","MaxConf","MaxConf","MaxConf","MaxConf","MaxConf","MaxConf","MaxConf","MaxConf","MaxConf","MaxConf","MaxConf","MaxConf","MaxConf","MaxConf","MaxConf","MaxConf","MaxConf","MaxConf","MaxConf","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR","Kulczynski","Kulczynski","Kulczynski","Kulczynski","Kulczynski","Kulczynski","Kulczynski","Kulczynski","Kulczynski","Kulczynski","Kulczynski","Kulczynski","Kulczynski","Kulczynski","Kulczynski","Kulczynski","Kulczynski","Kulczynski","Kulczynski","Kulczynski","Kulczynski","Kulczynski","Kulczynski","Kulczynski","Kulczynski","Kulczynski","Kulczynski","Kulczynski","Kulczynski","Kulczynski","Kulczynski","Kulczynski","Kulczynski","Kulczynski","Kulczynski","Kulczynski"
"Thresold","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6"
"Parts-of-speech","NN","NN","NN","NN","JJ","JJ","JJ","JJ","VB","VB","VB","VB","NN","NN","NN","NN","JJ","JJ","JJ","JJ","VB","VB","VB","VB","NN","NN","NN","NN","JJ","JJ","JJ","JJ","VB","VB","VB","VB","NN","NN","NN","NN","JJ","JJ","JJ","JJ","VB","VB","VB","VB","NN","NN","NN","NN","JJ","JJ","JJ","JJ","VB","VB","VB","VB","NN","NN","NN","NN","JJ","JJ","JJ","JJ","VB","VB","VB","VB","NN","NN","NN","NN","JJ","JJ","JJ","JJ","VB","VB","VB","VB","NN","NN","NN","NN","JJ","JJ","JJ","JJ","VB","VB","VB","VB","NN","NN","NN","NN","JJ","JJ","JJ","JJ","VB","VB","VB","VB","NN","NN","NN","NN","JJ","JJ","JJ","JJ","VB","VB","VB","VB","NN","NN","NN","NN","JJ","JJ","JJ","JJ","VB","VB","VB","VB","NN","NN","NN","NN","JJ","JJ","JJ","JJ","VB","VB","VB","VB","NN","NN","NN","NN","JJ","JJ","JJ","JJ","VB","VB","VB","VB","NN","NN","NN","NN","JJ","JJ","JJ","JJ","VB","VB","VB","VB","NN","NN","NN","NN","JJ","JJ","JJ","JJ","VB","VB","VB","VB","NN","NN","NN","NN","JJ","JJ","JJ","JJ","VB","VB","VB","VB","NN","NN","NN","NN","JJ","JJ","JJ","JJ","VB","VB","VB","VB","NN","NN","NN","NN","JJ","JJ","JJ","JJ","VB","VB","VB","VB"
"Evaluation","MRR","Hits1","Hits2","Hits4","MRR","Hits1","Hits2","Hits4","MRR","Hits1","Hits2","Hits4","MRR","Hits1","Hits2","Hits4","MRR","Hits1","Hits2","Hits4","MRR","Hits1","Hits2","Hits4","MRR","Hits1","Hits2","Hits4","MRR","Hits1","Hits2","Hits4","MRR","Hits1","Hits2","Hits4","MRR","Hits1","Hits2","Hits4","MRR","Hits1","Hits2","Hits4","MRR","Hits1","Hits2","Hits4","MRR","Hits1","Hits2","Hits4","MRR","Hits1","Hits2","Hits4","MRR","Hits1","Hits2","Hits4","MRR","Hits1","Hits2","Hits4","MRR","Hits1","Hits2","Hits4","MRR","Hits1","Hits2","Hits4","MRR","Hits1","Hits2","Hits4","MRR","Hits1","Hits2","Hits4","MRR","Hits1","Hits2","Hits4","MRR","Hits1","Hits2","Hits4","MRR","Hits1","Hits2","Hits4","MRR","Hits1","Hits2","Hits4","MRR","Hits1","Hits2","Hits4","MRR","Hits1","Hits2","Hits4","MRR","Hits1","Hits2","Hits4","MRR","Hits1","Hits2","Hits4","MRR","Hits1","Hits2","Hits4","MRR","Hits1","Hits2","Hits4","MRR","Hits1","Hits2","Hits4","MRR","Hits1","Hits2","Hits4","MRR","Hits1","Hits2","Hits4","MRR","Hits1","Hits2","Hits4","MRR","Hits1","Hits2","Hits4","MRR","Hits1","Hits2","Hits4","MRR","Hits1","Hits2","Hits4","MRR","Hits1","Hits2","Hits4","MRR","Hits1","Hits2","Hits4","MRR","Hits1","Hits2","Hits4","MRR","Hits1","Hits2","Hits4","MRR","Hits1","Hits2","Hits4","MRR","Hits1","Hits2","Hits4","MRR","Hits1","Hits2","Hits4","MRR","Hits1","Hits2","Hits4","MRR","Hits1","Hits2","Hits4","MRR","Hits1","Hits2","Hits4","MRR","Hits1","Hits2","Hits4","MRR","Hits1","Hits2","Hits4","MRR","Hits1","Hits2","Hits4","MRR","Hits1","Hits2","Hits4","MRR","Hits1","Hits2","Hits4","MRR","Hits1","Hits2","Hits4","MRR","Hits1","Hits2","Hits4"
"nGram_5-numRule_1000-supA_100.0-supB_100.0-condAB_0.05-condBA_0.05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"nGram_5-numRule_1000-supA_100.0-supB_100.0-condAB_0.05-condBA_0.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"nGram_5-numRule_1000-supA_100.0-supB_100.0-condAB_0.1-condBA_0.05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"nGram_5-numRule_1000-supA_100.0-supB_100.0-condAB_0.1-condBA_0.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"nGram_5-numRule_1000-supA_100.0-supB_20.0-condAB_0.05-condBA_0.05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"nGram_5-numRule_1000-supA_100.0-supB_20.0-condAB_0.05-condBA_0.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
