Interestingness,Coherence,Coherence,Coherence,Coherence,Coherence,Coherence,AllConf,AllConf,AllConf,AllConf,AllConf,AllConf,MaxConf,MaxConf,MaxConf,MaxConf,MaxConf,MaxConf,Kulczynski,Kulczynski,Kulczynski,Kulczynski,Kulczynski,Kulczynski,Cosine,Cosine,Cosine,Cosine,Cosine,Cosine,IR,IR,IR,IR,IR,IR
Thresold,0.001,0.001,0.001,0.045,0.045,0.045,0.001,0.001,0.001,0.045,0.045,0.045,0.001,0.001,0.001,0.045,0.045,0.045,0.001,0.001,0.001,0.045,0.045,0.045,0.001,0.001,0.001,0.045,0.045,0.045,0.001,0.001,0.001,0.045,0.045,0.045
Parts-of-speech,NN,JJ,VB,NN,JJ,VB,NN,JJ,VB,NN,JJ,VB,NN,JJ,VB,NN,JJ,VB,NN,JJ,VB,NN,JJ,VB,NN,JJ,VB,NN,JJ,VB,NN,JJ,VB,NN,JJ,VB
nGram_1-numRule_4000-supA_10.0-supB_20.0-condAB_0.8-condBA_0.8,0.17452831,0.2939394,0,0.17452831,0.2939394,0,0.17452831,0.2939394,0,0.17452831,0.2939394,0,,,,,,,,,,,,,,,,,,,,,,,,
nGram_1-numRule_4000-supA_200.0-supB_100.0-condAB_0.1-condBA_0.001,0.05978261,0,0,0.05978261,0,0,0.05978261,0,0,0.05978261,0,0,,,,,,,,,,,,,,,,,,,,,,,,
nGram_1-numRule_4000-supA_200.0-supB_100.0-condAB_0.1-condBA_0.8,0.05978261,0,0,0.05978261,0,0,0.05978261,0,0,0.05978261,0,0,,,,,,,,,,,,,,,,,,,,,,,,
nGram_1-numRule_4000-supA_200.0-supB_100.0-condAB_0.8-condBA_0.001,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
nGram_1-numRule_4000-supA_200.0-supB_100.0-condAB_0.8-condBA_0.8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
nGram_1-numRule_4000-supA_200.0-supB_20.0-condAB_0.1-condBA_0.001,0.05978261,0,0,0.05978261,0,0,0.05978261,0,0,0.05978261,0,0,,,,,,,,,,,,,,,,,,,,,,,,
nGram_1-numRule_4000-supA_200.0-supB_20.0-condAB_0.1-condBA_0.8,0.05978261,0,0,0.05978261,0,0,0.05978261,0,0,0.05978261,0,0,,,,,,,,,,,,,,,,,,,,,,,,
nGram_1-numRule_4000-supA_200.0-supB_20.0-condAB_0.8-condBA_0.001,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
nGram_1-numRule_4000-supA_200.0-supB_20.0-condAB_0.8-condBA_0.8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
nGram_1-numRule_8000-supA_10.0-supB_100.0-condAB_0.1-condBA_0.001,0.14551994,0.50392157,0.00142191,0.14551994,0.50392157,0.00142191,0.14799222,0.50392157,0.00142265,0.14799222,0.50392157,0.00142265,,,,,,,,,,,,,,,,,,,,,,,,
nGram_1-numRule_8000-supA_10.0-supB_100.0-condAB_0.1-condBA_0.8,0.14551994,0.50392157,0.00142191,0.14551994,0.50392157,0.00142191,0.14799222,0.50392157,0.00142265,0.14799222,0.50392157,0.00142265,,,,,,,,,,,,,,,,,,,,,,,,
nGram_1-numRule_8000-supA_10.0-supB_100.0-condAB_0.8-condBA_0.001,0.1511628,0.42857143,0,0.1511628,0.42857143,0,0.1511628,0.42857143,0,0.1511628,0.42857143,0,,,,,,,,,,,,,,,,,,,,,,,,
nGram_1-numRule_8000-supA_10.0-supB_100.0-condAB_0.8-condBA_0.8,0.1511628,0.42857143,0,0.1511628,0.42857143,0,0.1511628,0.42857143,0,0.1511628,0.42857143,0,,,,,,,,,,,,,,,,,,,,,,,,
nGram_1-numRule_8000-supA_10.0-supB_20.0-condAB_0.1-condBA_0.001,0.11767465,0.23518519,0.00208235,0.11767465,0.23518519,0.00208235,0.12001882,0.23518519,0.00208263,0.12001882,0.23518519,0.00208263,,,,,,,,,,,,,,,,,,,,,,,,
nGram_1-numRule_8000-supA_10.0-supB_20.0-condAB_0.1-condBA_0.8,0.11767465,0.23518519,0.00208235,0.11767465,0.23518519,0.00208235,0.12001882,0.23518519,0.00208263,0.12001882,0.23518519,0.00208263,,,,,,,,,,,,,,,,,,,,,,,,
nGram_1-numRule_8000-supA_10.0-supB_20.0-condAB_0.8-condBA_0.001,0.16384181,0.2654762,0,0.16384181,0.2654762,0,0.16384181,0.2654762,0,0.16384181,0.2654762,0,,,,,,,,,,,,,,,,,,,,,,,,
nGram_1-numRule_8000-supA_10.0-supB_20.0-condAB_0.8-condBA_0.8,0.16384181,0.2654762,0,0.16384181,0.2654762,0,0.16384181,0.2654762,0,0.16384181,0.2654762,0,,,,,,,,,,,,,,,,,,,,,,,,
nGram_1-numRule_8000-supA_200.0-supB_100.0-condAB_0.1-condBA_0.001,0.06166057,0.29714286,0,0.06166057,0.29714286,0,0.06166057,0.29714286,0,0.06166057,0.29714286,0,,,,,,,,,,,,,,,,,,,,,,,,
nGram_1-numRule_8000-supA_200.0-supB_100.0-condAB_0.1-condBA_0.8,0.06166057,0.29714286,0,0.06166057,0.29714286,0,0.06166057,0.29714286,0,0.06166057,0.29714286,0,,,,,,,,,,,,,,,,,,,,,,,,
nGram_1-numRule_8000-supA_200.0-supB_100.0-condAB_0.8-condBA_0.001,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
nGram_1-numRule_8000-supA_200.0-supB_100.0-condAB_0.8-condBA_0.8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
nGram_1-numRule_8000-supA_200.0-supB_20.0-condAB_0.1-condBA_0.001,0.06166057,0.29714286,0,0.06166057,0.29714286,0,0.06166057,0.29714286,0,0.06166057,0.29714286,0,,,,,,,,,,,,,,,,,,,,,,,,
nGram_1-numRule_8000-supA_200.0-supB_20.0-condAB_0.1-condBA_0.8,0.06166057,0.29714286,0,0.06166057,0.29714286,0,0.06166057,0.29714286,0,0.06166057,0.29714286,0,,,,,,,,,,,,,,,,,,,,,,,,
nGram_1-numRule_8000-supA_200.0-supB_20.0-condAB_0.8-condBA_0.001,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
nGram_1-numRule_8000-supA_200.0-supB_20.0-condAB_0.8-condBA_0.8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
