Interestingness,Coherence,Coherence,Coherence,Coherence,Coherence,Coherence,AllConf,AllConf,AllConf,AllConf,AllConf,AllConf,MaxConf,MaxConf,MaxConf,MaxConf,MaxConf,MaxConf
Thresold,0.001,0.001,0.001,0.045,0.045,0.045,0.001,0.001,0.001,0.045,0.045,0.045,0.001,0.001,0.001,0.045,0.045,0.045
Parts-of-speech,NN,JJ,VB,NN,JJ,VB,NN,JJ,VB,NN,JJ,VB,NN,JJ,VB,NN,JJ,VB
nGram_1-numRule_8000-supA_10.0-supB_100.0-condAB_0.1-condBA_0.8,0.00240098,0.01576814,0.00010443,0.00240098,0.01576814,0.00010443,0.00231601,0.01499896,0.00010083,0.00231601,0.01499896,0.00010083,0,0.18181819,0,0,0.18181819,0
nGram_1-numRule_8000-supA_10.0-supB_100.0-condAB_0.8-condBA_0.001,0.01219513,0.11111112,0,0.01219513,0.11111112,0,0.01219513,0.11111112,0,0.01219513,0.11111112,0,,,,,,
nGram_1-numRule_8000-supA_10.0-supB_100.0-condAB_0.8-condBA_0.8,0.01219513,0.11111112,0,0.01219513,0.11111112,0,0.01219513,0.11111112,0,0.01219513,0.11111112,0,,,,,,
nGram_1-numRule_8000-supA_10.0-supB_20.0-condAB_0.1-condBA_0.001,,0.00514085,0.00027234,,0.00514085,0.00027234,,0.00459373,0.00027108,,0.00459373,0.00027108,0,0.20833334,0,0,0.20833334,0
nGram_1-numRule_8000-supA_10.0-supB_20.0-condAB_0.1-condBA_0.8,,0.00514085,0.00027234,,0.00514085,0.00027234,,0.00459373,0.00027108,,0.00459373,0.00027108,0,0.20833334,0,0,0.20833334,0
nGram_1-numRule_8000-supA_10.0-supB_20.0-condAB_0.8-condBA_0.001,,0.03048781,0,,0.03048781,0,,0.02352942,0,,0.02352942,0,,,,,,
nGram_1-numRule_8000-supA_10.0-supB_20.0-condAB_0.8-condBA_0.8,,0.03048781,0,,0.03048781,0,,0.02352942,0,,0.02352942,0,,,,,,
nGram_1-numRule_8000-supA_200.0-supB_100.0-condAB_0.1-condBA_0.001,0.00108933,0,0,0.00108933,0,0,0.00108933,0,0,0.00108933,0,0,0,0,0,0,0,0
nGram_1-numRule_8000-supA_200.0-supB_100.0-condAB_0.1-condBA_0.8,0.00108933,0,0,0.00108933,0,0,0.00108933,0,0,0.00108933,0,0,0,0,0,0,0,0
nGram_1-numRule_8000-supA_200.0-supB_100.0-condAB_0.8-condBA_0.001,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
nGram_1-numRule_8000-supA_200.0-supB_100.0-condAB_0.8-condBA_0.8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
nGram_1-numRule_8000-supA_200.0-supB_20.0-condAB_0.1-condBA_0.001,0.00108933,0,0,0.00108933,0,0,0.00108933,0,0,0.00108933,0,0,0,0,0,0,0,0
nGram_1-numRule_8000-supA_200.0-supB_20.0-condAB_0.1-condBA_0.8,0.00108933,0,0,0.00108933,0,0,0.00108933,0,0,0.00108933,0,0,0,0,0,0,0,0
nGram_1-numRule_8000-supA_200.0-supB_20.0-condAB_0.8-condBA_0.001,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
nGram_1-numRule_8000-supA_200.0-supB_20.0-condAB_0.8-condBA_0.8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
