class,ruletype,"linguistic pattern","order of arguments",patterntype,subject,predicate,object,condAB,condBA,supA,supB,supAB,AllConf,Coherence,Cosine,IR,Kulczynski,MaxConf,string
http://dbpedia.org/ontology/Book,predict_localized_l_for_s_given_p,"the first",so,twogram,,http://dbpedia.org/property/pubDate,,0.00467653936087295,1,6,1283,6,0.00467653936087295,0.00465477114041893,0.0683852276509551,0.995323460639127,0.502338269680436,1,"{ dbo:Book in c_e and exists o : (e, dbp:pubDate, o) in G } => { 'the first' in l_e(c,p,so) }"
http://dbpedia.org/ontology/Book,predict_localized_l_for_s_given_p,"a children's",so,twogram,,http://dbpedia.org/property/pubDate,,0.00623538581449727,1,8,1283,8,0.00623538581449727,0.00619674670797831,0.0789644591857455,0.993764614185503,0.503117692907249,1,"{ dbo:Book in c_e and exists o : (e, dbp:pubDate, o) in G } => { 'a children's' in l_e(c,p,so) }"
http://dbpedia.org/ontology/Book,predict_localized_l_for_s_given_p,"on October",so,twogram,,http://dbpedia.org/property/pubDate,,0.00467653936087295,1,6,1283,6,0.00467653936087295,0.00465477114041893,0.0683852276509551,0.995323460639127,0.502338269680436,1,"{ dbo:Book in c_e and exists o : (e, dbp:pubDate, o) in G } => { 'on October' in l_e(c,p,so) }"
http://dbpedia.org/ontology/Book,predict_localized_l_for_s_given_p,"released on",so,twogram,,http://dbpedia.org/property/pubDate,,0.00857365549493375,1,11,1283,11,0.00857365549493375,0.00850077279752705,0.0925940359576887,0.991426344505066,0.504286827747467,1,"{ dbo:Book in c_e and exists o : (e, dbp:pubDate, o) in G } => { 'released on' in l_e(c,p,so) }"
http://dbpedia.org/ontology/Book,predict_localized_l_for_s_given_p,"the United",so,twogram,,http://dbpedia.org/property/pubDate,,0.00389711613406079,1,5,1283,5,0.00389711613406079,0.00388198757763975,0.0624268863075902,0.996102883865939,0.50194855806703,1,"{ dbo:Book in c_e and exists o : (e, dbp:pubDate, o) in G } => { 'the United' in l_e(c,p,so) }"
http://dbpedia.org/ontology/Book,predict_localized_l_for_s_given_p,"on August",so,twogram,,http://dbpedia.org/property/pubDate,,0.00467653936087295,1,6,1283,6,0.00467653936087295,0.00465477114041893,0.0683852276509551,0.995323460639127,0.502338269680436,1,"{ dbo:Book in c_e and exists o : (e, dbp:pubDate, o) in G } => { 'on August' in l_e(c,p,so) }"
http://dbpedia.org/ontology/Book,predict_localized_l_for_s_given_p,"written by",so,twogram,,http://dbpedia.org/property/pubDate,,0.0272798129384256,1,35,1283,35,0.0272798129384256,0.0265553869499241,0.165166016293987,0.972720187061574,0.513639906469213,1,"{ dbo:Book in c_e and exists o : (e, dbp:pubDate, o) in G } => { 'written by' in l_e(c,p,so) }"
http://dbpedia.org/ontology/Book,predict_localized_l_for_s_given_p,"published by",so,twogram,,http://dbpedia.org/property/pubDate,,0.0303975058456742,1,39,1283,39,0.0303975058456742,0.029500756429652,0.174348805116852,0.969602494154326,0.515198752922837,1,"{ dbo:Book in c_e and exists o : (e, dbp:pubDate, o) in G } => { 'published by' in l_e(c,p,so) }"
http://dbpedia.org/ontology/Book,predict_localized_l_for_s_given_p,"English author",so,twogram,,http://dbpedia.org/property/pubDate,,0.00389711613406079,1,5,1283,5,0.00389711613406079,0.00388198757763975,0.0624268863075902,0.996102883865939,0.50194855806703,1,"{ dbo:Book in c_e and exists o : (e, dbp:pubDate, o) in G } => { 'English author' in l_e(c,p,so) }"
http://dbpedia.org/ontology/Book,predict_localized_l_for_s_given_p,"a novel",so,twogram,,http://dbpedia.org/property/pubDate,,0.019485580670304,1,25,1283,25,0.019485580670304,0.0191131498470948,0.139590761407423,0.980514419329696,0.509742790335152,1,"{ dbo:Book in c_e and exists o : (e, dbp:pubDate, o) in G } => { 'a novel' in l_e(c,p,so) }"
